"year","source","item","value","Reference"
1965,"Zou et al (2022)","Output_MtPperYr",4.83889575272658,"Zou et al (2022)"
1965,"Zou et al (2022)","Surplus_MtPperYr",5.02160795984758,"Zou et al (2022)"
1965,"Zou et al (2022)","PUE_pc",49.0735148403828,"Zou et al (2022)"
1966,"Zou et al (2022)","Input_MtPperYr",10.6329257809764,"Zou et al (2022)"
1966,"Zou et al (2022)","Output_MtPperYr",5.14256977082565,"Zou et al (2022)"
1966,"Zou et al (2022)","Surplus_MtPperYr",5.4903560101507,"Zou et al (2022)"
1966,"Zou et al (2022)","PUE_pc",48.3645788257674,"Zou et al (2022)"
1967,"Zou et al (2022)","Input_MtPperYr",11.0165186780523,"Zou et al (2022)"
1967,"Zou et al (2022)","Output_MtPperYr",5.26546839457066,"Zou et al (2022)"
1967,"Zou et al (2022)","Surplus_MtPperYr",5.75105028348162,"Zou et al (2022)"
1967,"Zou et al (2022)","PUE_pc",47.7961191593204,"Zou et al (2022)"
1968,"Zou et al (2022)","Input_MtPperYr",11.3915307542972,"Zou et al (2022)"
1968,"Zou et al (2022)","Output_MtPperYr",5.47284887861717,"Zou et al (2022)"
1968,"Zou et al (2022)","Surplus_MtPperYr",5.91868187568007,"Zou et al (2022)"
1968,"Zou et al (2022)","PUE_pc",48.0431383337366,"Zou et al (2022)"
1969,"Zou et al (2022)","Input_MtPperYr",11.6854625037662,"Zou et al (2022)"
1969,"Zou et al (2022)","Output_MtPperYr",5.45181778514882,"Zou et al (2022)"
1969,"Zou et al (2022)","Surplus_MtPperYr",6.23364471861741,"Zou et al (2022)"
1969,"Zou et al (2022)","PUE_pc",46.6547026563279,"Zou et al (2022)"
1970,"Zou et al (2022)","Input_MtPperYr",12.2292738079918,"Zou et al (2022)"
1970,"Zou et al (2022)","Output_MtPperYr",5.59945419866856,"Zou et al (2022)"
1970,"Zou et al (2022)","Surplus_MtPperYr",6.62981960932324,"Zou et al (2022)"
1970,"Zou et al (2022)","PUE_pc",45.7872992835382,"Zou et al (2022)"
1971,"Zou et al (2022)","Input_MtPperYr",12.874570546168,"Zou et al (2022)"
